구,동,빈도수
강남구,일원동,3
강남구,대치동,3
강남구,자곡동,2
강남구,역삼동,2
강남구,청담동,2
강남구,논현동,1
강남구,도곡동,1
강남구,삼성동,1
강남구,개포동,1
성북구,돈암동,3
성북구,길음동,2
성북구,하월곡동,2
성북구,정릉동,2
성북구,상월곡동,1
성북구,장위동,1
성북구,종암동,1
구로구,구로동,5
구로구,개봉동,2
구로구,고척동,2
구로구,신도림동,1
구로구,궁동,1
구로구,항동,1
송파구,잠실동,3
송파구,장지동,2
송파구,거여동,1
송파구,석촌동,1
송파구,오금동,1
송파구,마천동,1
송파구,방이동,1
양천구,신정동,4
양천구,목동,3
양천구,신월동,3
도봉구,쌍문동,3
도봉구,도봉동,2
도봉구,창동,2
도봉구,방학동,2
서초구,서초동,3
서초구,방배동,2
서초구,신원동,1
서초구,반포동,1
서초구,양재동,1
서초구,잠원동,1
동대문구,용두동,2
동대문구,휘경동,2
동대문구,답십리동,1
동대문구,청량리동,1
동대문구,전농동,1
동대문구,신설동,1
동대문구,장안동,1
노원구,중계동,3
노원구,상계동,2
노원구,월계동,2
노원구,하계동,1
노원구,공릉동,1
강서구,화곡동,4
강서구,등촌동,2
강서구,가양동,1
강서구,방화동,1
강서구,염창동,1
강동구,천호동,2
강동구,강일동,1
강동구,둔촌동,1
강동구,성내동,1
강동구,암사동,1
강동구,명일동,1
강동구,길동,1
강동구,고덕동,1
동작구,노량진동,2
동작구,상도1동,1
동작구,흑석동,1
동작구,대방동,1
동작구,사당동,1
동작구,신대방동,1
동작구,상도동,1
은평구,진관동,3
은평구,구산동,1
은평구,신사동,1
은평구,불광동,1
은평구,응암동,1
은평구,증산동,1
중구,신당동,5
중구,만리동2가,2
중구,묵정동,1
종로구,동숭동,2
종로구,사직동,2
종로구,화동,1
종로구,숭인동,1
종로구,명륜3가,1
종로구,청운동,1
광진구,광장동,2
광진구,자양동,2
광진구,구의동,1
광진구,군자동,1
광진구,중곡동,1
강북구,미아동,5
강북구,번동,1
강북구,수유동,1
성동구,행당동,2
성동구,금호동1가,1
성동구,성수동1가,1
성동구,옥수동,1
성동구,용답동,1
성동구,상왕십리동,1
영등포구,대림동,1
영등포구,문래동3가,1
영등포구,당산동,1
영등포구,양평동3가,1
영등포구,여의도동,1
영등포구,당산동1가,1
마포구,창전동,1
마포구,성산동,1
마포구,상암동,1
마포구,서교동,1
마포구,아현동,1
마포구,염리동,1
관악구,봉천동,3
관악구,신림동,2
중랑구,망우동,2
중랑구,면목동,1
중랑구,묵동,1
중랑구,상봉동,1
금천구,시흥동,2
금천구,가산동,1
금천구,독산동,1
서대문구,남가좌동,1
서대문구,현저동,1
서대문구,연희동,1
서대문구,홍은동,1
용산구,후암동,2
용산구,원효로1가,1
용산구,서계동,1
