구,동,빈도수
서초구,서초동,166
서초구,방배동,156
서초구,반포동,80
서초구,양재동,70
서초구,우면동,39
서초구,잠원동,37
서초구,내곡동,28
서초구,신원동,22
서초구,염곡동,11
서초구,원지동,5
강서구,화곡동,186
강서구,등촌동,74
강서구,마곡동,74
강서구,방화동,70
강서구,공항동,46
강서구,내발산동,45
강서구,가양동,39
강서구,염창동,32
강서구,외발산동,23
강서구,개화동,9
강서구,과해동,2
강서구,오곡동,2
강서구,오쇠동,2
성북구,정릉동,122
성북구,장위동,89
성북구,종암동,54
성북구,하월곡동,47
성북구,돈암동,41
성북구,길음동,38
성북구,성북동,33
성북구,석관동,27
성북구,안암동5가,21
성북구,상월곡동,14
성북구,삼선동2가,12
성북구,안암동2가,7
성북구,삼선동3가,7
성북구,동선동2가,6
성북구,성북동1가,6
성북구,삼선동1가,5
성북구,삼선동5가,5
성북구,보문동1가,4
성북구,안암동1가,3
성북구,동소문동7가,3
성북구,삼선동4가,3
성북구,동소문동2가,3
성북구,보문동7가,2
성북구,동소문동6가,2
성북구,동선동1가,2
성북구,동선동4가,2
성북구,동소문동1가,2
성북구,동소문동3가,2
성북구,동소문동4가,2
성북구,동소문동5가,2
성북구,보문동4가,1
성북구,보문동5가,1
성북구,보문동2가,1
성북구,보문동3가,1
성북구,안암동4가,1
성북구,동선동5가,1
마포구,상암동,85
마포구,성산동,58
마포구,서교동,53
마포구,망원동,50
마포구,도화동,35
마포구,창전동,32
마포구,합정동,27
마포구,신수동,24
마포구,아현동,23
마포구,대흥동,23
마포구,연남동,21
마포구,공덕동,21
마포구,상수동,19
마포구,노고산동,16
마포구,동교동,13
마포구,염리동,13
마포구,신공덕동,9
마포구,용강동,9
마포구,중동,8
마포구,구수동,4
마포구,마포동,2
마포구,하중동,1
마포구,신정동,1
마포구,당인동,1
강남구,개포동,80
강남구,역삼동,73
강남구,대치동,67
강남구,삼성동,52
강남구,논현동,44
강남구,도곡동,41
강남구,일원동,40
강남구,세곡동,36
강남구,수서동,27
강남구,청담동,23
강남구,신사동,22
강남구,자곡동,18
강남구,압구정동,12
강남구,율현동,10
노원구,상계동,179
노원구,월계동,107
노원구,공릉동,107
노원구,중계동,75
노원구,하계동,54
영등포구,신길동,136
영등포구,대림동,61
영등포구,여의도동,54
영등포구,도림동,24
영등포구,문래동3가,19
영등포구,당산동5가,18
영등포구,양평동3가,13
영등포구,당산동,12
영등포구,영등포동,12
영등포구,양평동1가,9
영등포구,양평동4가,8
영등포구,문래동6가,8
영등포구,영등포동8가,8
영등포구,당산동2가,8
영등포구,영등포동7가,7
영등포구,당산동3가,7
영등포구,영등포동4가,7
영등포구,양평동5가,6
영등포구,문래동5가,6
영등포구,양평동2가,6
영등포구,당산동6가,6
영등포구,당산동4가,6
영등포구,영등포동3가,6
영등포구,양화동,4
영등포구,영등포동6가,4
영등포구,당산동1가,4
영등포구,영등포동2가,4
영등포구,양평동6가,3
