index,gu,dong,libraryCount,busStation,cultureCount,medicalCount,crimeRate,youthRate,jeonseDeposit,monthDeposit,monthRent,supermarket,parkRate,academyCount,id,libraryCountRank,busStationRank,cultureCountRank,medicalCountRank,crimeRateRank,youthRateRank,supermarketRank,parkRateRank,academyCountRank
0,강남구,일원동,3.0,40.0,3.0,58.0,12.749760035824863,18.66884476836726,66748.43956043955,25544.23163841808,93.42050040355124,0.0,6.85,493,1,6.0,88.0,84.0,54.0,229.0,311.0,64.0,276.0,1.0
1,강남구,대치동,3.0,67.0,10.0,112.0,12.749760035824863,16.330700081721602,81791.0594505945,34713.31590909091,134.24848484848485,1.0,6.85,493,2,6.0,46.0,12.0,17.0,229.0,375.0,23.0,276.0,1.0
2,강남구,자곡동,2.0,18.0,3.0,12.0,12.749760035824863,20.82830278418029,41118.80047505938,9532.152917505033,58.286384976525824,0.0,6.85,493,3,17.0,163.0,84.0,171.0,229.0,247.0,64.0,276.0,1.0
3,강남구,역삼동,2.0,73.0,11.0,192.0,12.749760035824863,27.049866012562205,46040.3903803132,12400.347236981934,106.43969181721572,1.0,6.85,493,4,17.0,38.0,9.0,5.0,229.0,132.0,23.0,276.0,1.0
4,강남구,청담동,2.0,23.0,8.0,52.0,12.749760035824863,20.20788501360185,79065.03633217994,23171.615074024223,205.6339165545088,0.0,6.85,493,5,17.0,141.0,18.0,61.0,229.0,268.0,64.0,276.0,1.0
5,강남구,논현동,1.0,44.0,7.0,140.0,12.749760035824863,29.51238931647646,39592.950710108606,8476.338756779307,98.73049645390071,0.0,6.85,493,6,47.0,76.0,25.0,11.0,229.0,108.0,64.0,276.0,1.0
6,강남구,도곡동,1.0,41.0,2.0,62.0,12.749760035824863,16.626890914215917,93331.94533527696,39874.98795180723,159.03521779425395,0.0,6.85,493,7,47.0,86.0,121.0,48.0,229.0,370.0,64.0,276.0,1.0
7,강남구,삼성동,1.0,52.0,11.0,74.0,12.749760035824863,20.29338137238846,70526.4827586207,19794.155152224823,154.38056206088993,2.0,6.85,493,8,47.0,64.0,9.0,41.0,229.0,266.0,4.0,276.0,1.0
8,강남구,개포동,1.0,80.0,4.0,68.0,12.749760035824863,17.88395723343857,65758.94740557713,28351.89155629139,132.6978476821192,0.0,6.85,493,9,47.0,33.0,58.0,45.0,229.0,335.0,64.0,276.0,1.0
9,강남구,세곡동,0.0,36.0,0.0,12.0,12.749760035824863,17.371968591480787,40738.01059602649,13581.300733496331,73.86552567237163,0.0,6.85,493,10,132.0,100.0,280.0,171.0,229.0,353.0,64.0,276.0,1.0
