,자치구,법정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
0,종로구,청운동,2.0,2289,0.0008737439930100481,0.08737439930100481
1,종로구,신교동,,1340,,
2,종로구,궁정동,,211,,
3,종로구,효자동,,570,,
4,종로구,창성동,,404,,
5,종로구,통의동,4.0,319,0.012539184952978056,1.2539184952978055
6,종로구,적선동,,38,,
7,종로구,통인동,,718,,
8,종로구,누상동,,3174,,
9,종로구,누하동,1.0,780,0.001282051282051282,0.1282051282051282
10,종로구,옥인동,3.0,1863,0.001610305958132045,0.1610305958132045
11,종로구,체부동,2.0,693,0.002886002886002886,0.2886002886002886
12,종로구,필운동,1.0,981,0.0010193679918450561,0.10193679918450561
13,종로구,내자동,1.0,83,0.012048192771084338,1.2048192771084338
14,종로구,사직동,5.0,3172,0.0015762925598991173,0.15762925598991173
15,종로구,도렴동,,2,,
16,종로구,당주동,,282,,
17,종로구,내수동,,2642,,
18,종로구,신문로1가,2.0,74,0.02702702702702703,2.7027027027027026
19,종로구,신문로2가,3.0,712,0.004213483146067416,0.42134831460674155
20,종로구,청진동,,53,,
21,종로구,서린동,2.0,2,1.0,100.0
22,종로구,수송동,1.0,239,0.0041841004184100415,0.41841004184100417
23,종로구,중학동,1.0,4,0.25,25.0
24,종로구,종로1가,,106,,
25,종로구,공평동,1.0,1,1.0,100.0
26,종로구,관훈동,15.0,111,0.13513513513513514,13.513513513513514
27,종로구,견지동,3.0,231,0.012987012987012988,1.2987012987012987
28,종로구,와룡동,6.0,94,0.06382978723404255,6.382978723404255
29,종로구,권농동,1.0,133,0.007518796992481203,0.7518796992481203
30,종로구,운니동,1.0,169,0.005917159763313609,0.591715976331361
31,종로구,익선동,1.0,1009,0.0009910802775024777,0.09910802775024777
32,종로구,경운동,2.0,255,0.00784313725490196,0.7843137254901961
33,종로구,관철동,2.0,244,0.00819672131147541,0.819672131147541
34,종로구,인사동,4.0,82,0.04878048780487805,4.878048780487805
35,종로구,낙원동,1.0,848,0.0011792452830188679,0.1179245283018868
36,종로구,종로2가,,53,,
37,종로구,팔판동,1.0,272,0.003676470588235294,0.3676470588235294
38,종로구,삼청동,5.0,1259,0.003971405877680699,0.3971405877680699
39,종로구,안국동,4.0,251,0.01593625498007968,1.593625498007968
40,종로구,소격동,5.0,134,0.03731343283582089,3.731343283582089
41,종로구,화동,3.0,203,0.014778325123152709,1.477832512315271
42,종로구,사간동,3.0,129,0.023255813953488372,2.3255813953488373
43,종로구,가회동,9.0,979,0.009193054136874362,0.9193054136874361
44,종로구,재동,1.0,85,0.011764705882352941,1.1764705882352942
45,종로구,계동,4.0,1031,0.0038797284190106693,0.38797284190106696
46,종로구,원서동,4.0,1765,0.0022662889518413596,0.22662889518413595
47,종로구,묘동,,34,,
48,종로구,봉익동,,58,,
49,종로구,돈의동,,788,,
50,종로구,장사동,1.0,71,0.014084507042253521,1.4084507042253522
51,종로구,관수동,1.0,383,0.0026109660574412533,0.26109660574412535
52,종로구,종로3가,,124,,
53,종로구,인의동,,1050,,
54,종로구,예지동,,36,,
55,종로구,원남동,,504,,
56,종로구,연지동,1.0,875,0.001142857142857143,0.1142857142857143
57,종로구,종로4가,,23,,
58,종로구,효제동,,828,,
59,종로구,종로5가,,225,,
60,종로구,종로6가,2.0,460,0.004347826086956522,0.43478260869565216
61,종로구,이화동,2.0,1681,0.001189767995240928,0.1189767995240928
62,종로구,연건동,3.0,1599,0.001876172607879925,0.18761726078799248
63,종로구,충신동,,2996,,
64,종로구,동숭동,16.0,3619,0.004421110804089527,0.44211108040895275
65,종로구,혜화동,8.0,3182,0.00251414204902577,0.251414204902577
66,종로구,명륜1가,3.0,4207,0.0007130972189208462,0.07130972189208462
67,종로구,명륜2가,4.0,3025,0.001322314049586777,0.1322314049586777
68,종로구,명륜4가,3.0,824,0.0036407766990291263,0.3640776699029126
69,종로구,명륜3가,1.0,4609,0.00021696680407897592,0.021696680407897594
70,종로구,창신동,3.0,18376,0.0001632564214192425,0.016325642141924248
71,종로구,숭인동,2.0,15603,0.00012818047811318336,0.012818047811318336
72,종로구,교남동,,560,,
73,종로구,평동,1.0,1563,0.0006397952655150352,0.06397952655150352
74,종로구,송월동,1.0,905,0.0011049723756906078,0.11049723756906078
75,종로구,홍파동,1.0,1587,0.000630119722747322,0.0630119722747322
76,종로구,교북동,,904,,
77,종로구,행촌동,1.0,4196,0.00023832221163012392,0.023832221163012392
78,종로구,구기동,1.0,5766,0.0001734304543877905,0.01734304543877905
79,종로구,평창동,8.0,11621,0.0006884089148954479,0.06884089148954478
80,종로구,부암동,7.0,4082,0.0017148456638902498,0.17148456638902498
81,종로구,홍지동,2.0,1564,0.0012787723785166241,0.1278772378516624
82,종로구,신영동,,3439,,
83,종로구,무악동,,7961,,
84,중구,무교동,,8,,
85,중구,다동,2.0,64,0.03125,3.125
86,중구,태평로1가,4.0,4,1.0,100.0
87,중구,을지로1가,,1,,
88,중구,을지로2가,,52,,
89,중구,삼각동,,4,,
90,중구,장교동,,2,,
91,중구,수표동,,5,,
92,중구,소공동,1.0,1,1.0,100.0
93,중구,남창동,,414,,
94,중구,북창동,,148,,
95,중구,태평로2가,1.0,49,0.02040816326530612,2.0408163265306123
96,중구,남대문로2가,,1,,
97,중구,남대문로3가,1.0,10,0.1,10.0
98,중구,남대문로4가,,4,,
99,중구,남대문로5가,2.0,694,0.002881844380403458,0.2881844380403458
100,중구,봉래동1가,,45,,
101,중구,회현동1가,3.0,3211,0.0009342883836810962,0.09342883836810963
102,중구,회현동2가,1.0,830,0.0012048192771084338,0.12048192771084339
103,중구,회현동3가,,34,,
104,중구,충무로1가,1.0,16,0.0625,6.25
105,중구,충무로2가,,256,,
106,중구,명동1가,1.0,11,0.09090909090909091,9.090909090909092
107,중구,명동2가,4.0,523,0.0076481835564053535,0.7648183556405354
108,중구,남산동1가,1.0,135,0.007407407407407408,0.7407407407407408
109,중구,남산동2가,1.0,495,0.00202020202020202,0.20202020202020202
110,중구,남산동3가,,50,,
111,중구,저동1가,1.0,14,0.07142857142857142,7.142857142857142
112,중구,충무로4가,,1566,,
113,중구,충무로5가,,594,,
114,중구,인현동2가,,1084,,
115,중구,예관동,,21,,
116,중구,묵정동,,890,,
117,중구,필동1가,,172,,
118,중구,필동2가,6.0,849,0.007067137809187279,0.7067137809187279
119,중구,필동3가,1.0,954,0.0010482180293501049,0.10482180293501049
120,중구,남학동,,43,,
121,중구,주자동,,17,,
122,중구,예장동,3.0,778,0.0038560411311053984,0.3856041131105398
123,중구,장충동1가,1.0,1704,0.0005868544600938967,0.05868544600938967
124,중구,장충동2가,4.0,2851,0.0014030164854437039,0.14030164854437038
125,중구,광희동1가,,345,,
126,중구,광희동2가,,838,,
127,중구,쌍림동,,582,,
128,중구,을지로6가,1.0,156,0.00641025641025641,0.641025641025641
129,중구,을지로7가,2.0,49,0.04081632653061224,4.081632653061225
130,중구,을지로4가,,120,,
131,중구,을지로5가,,418,,
132,중구,주교동,,259,,
133,중구,방산동,,42,,
134,중구,오장동,,711,,
135,중구,을지로3가,1.0,220,0.004545454545454545,0.45454545454545453
136,중구,입정동,,1420,,
137,중구,산림동,,140,,
138,중구,충무로3가,,254,,
139,중구,초동,1.0,76,0.013157894736842105,1.3157894736842104
140,중구,인현동1가,1.0,79,0.012658227848101266,1.2658227848101267
141,중구,저동2가,,254,,
142,중구,신당동,6.0,67433,8.89772070054721e-05,0.00889772070054721
143,중구,흥인동,1.0,2266,0.000441306266548985,0.0441306266548985
144,중구,무학동,,216,,
145,중구,황학동,1.0,12697,7.875876191226274e-05,0.007875876191226275
146,중구,서소문동,1.0,21,0.047619047619047616,4.761904761904762
147,중구,정동,12.0,527,0.022770398481973434,2.2770398481973433
148,중구,순화동,,1217,,
149,중구,의주로1가,,220,,
150,중구,중림동,,6353,,
151,중구,의주로2가,1.0,8,0.125,12.5
152,중구,만리동1가,2.0,1320,0.0015151515151515152,0.15151515151515152
153,중구,만리동2가,1.0,4467,0.00022386389075442132,0.02238638907544213
154,용산구,후암동,6.0,15998,0.00037504688086010754,0.037504688086010755
155,용산구,용산동2가,2.0,8910,0.0002244668911335578,0.022446689113355782
156,용산구,용산동4가,1.0,2,0.5,50.0
157,용산구,갈월동,2.0,2748,0.000727802037845706,0.0727802037845706
158,용산구,남영동,,604,,
159,용산구,동자동,1.0,3477,0.0002876042565429968,0.028760425654299683
160,용산구,서계동,2.0,4812,0.00041562759767248546,0.04156275976724855
161,용산구,청파동1가,,7184,,
162,용산구,청파동2가,2.0,3306,0.0006049606775559589,0.06049606775559589
163,용산구,청파동3가,2.0,3541,0.0005648121999435188,0.05648121999435188
164,용산구,원효로1가,1.0,6857,0.00014583637159107482,0.014583637159107482
165,용산구,원효로2가,,1730,,
166,용산구,신창동,1.0,2279,0.00043878894251864854,0.04387889425186486
167,용산구,산천동,,4922,,
168,용산구,청암동,,643,,
