,자치구,법정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
0,종로구,청운동,,2289,,
1,종로구,신교동,,1340,,
2,종로구,궁정동,,211,,
3,종로구,효자동,,570,,
4,종로구,창성동,2.0,404,0.0049504950495049506,0.49504950495049505
5,종로구,통의동,,319,,
6,종로구,적선동,6.0,38,0.15789473684210525,15.789473684210526
7,종로구,통인동,2.0,718,0.002785515320334262,0.2785515320334262
8,종로구,누상동,,3174,,
9,종로구,누하동,2.0,780,0.002564102564102564,0.2564102564102564
10,종로구,옥인동,4.0,1863,0.0021470746108427268,0.2147074610842727
11,종로구,체부동,,693,,
12,종로구,필운동,,981,,
13,종로구,내자동,8.0,83,0.0963855421686747,9.63855421686747
14,종로구,사직동,2.0,3172,0.0006305170239596469,0.06305170239596469
15,종로구,도렴동,,2,,
16,종로구,당주동,4.0,282,0.014184397163120567,1.4184397163120568
17,종로구,내수동,,2642,,
18,종로구,신문로1가,10.0,74,0.13513513513513514,13.513513513513514
19,종로구,신문로2가,,712,,
20,종로구,청진동,12.0,53,0.22641509433962265,22.641509433962266
21,종로구,서린동,,2,,
22,종로구,수송동,4.0,239,0.016736401673640166,1.6736401673640167
23,종로구,중학동,,4,,
24,종로구,종로1가,14.0,106,0.1320754716981132,13.20754716981132
25,종로구,공평동,,1,,
26,종로구,관훈동,2.0,111,0.018018018018018018,1.8018018018018018
27,종로구,견지동,2.0,231,0.008658008658008658,0.8658008658008658
28,종로구,와룡동,,94,,
29,종로구,권농동,,133,,
30,종로구,운니동,,169,,
31,종로구,익선동,,1009,,
32,종로구,경운동,4.0,255,0.01568627450980392,1.5686274509803921
33,종로구,관철동,6.0,244,0.02459016393442623,2.459016393442623
34,종로구,인사동,,82,,
35,종로구,낙원동,4.0,848,0.0047169811320754715,0.4716981132075472
36,종로구,종로2가,6.0,53,0.11320754716981132,11.320754716981133
37,종로구,팔판동,,272,,
38,종로구,삼청동,,1259,,
39,종로구,안국동,4.0,251,0.01593625498007968,1.593625498007968
40,종로구,소격동,2.0,134,0.014925373134328358,1.4925373134328357
41,종로구,화동,,203,,
42,종로구,사간동,,129,,
43,종로구,가회동,,979,,
44,종로구,재동,2.0,85,0.023529411764705882,2.3529411764705883
45,종로구,계동,2.0,1031,0.0019398642095053346,0.19398642095053348
46,종로구,원서동,,1765,,
47,종로구,묘동,4.0,34,0.11764705882352941,11.76470588235294
48,종로구,봉익동,,58,,
49,종로구,돈의동,2.0,788,0.0025380710659898475,0.25380710659898476
50,종로구,장사동,,71,,
51,종로구,관수동,,383,,
52,종로구,종로3가,12.0,124,0.0967741935483871,9.67741935483871
53,종로구,인의동,,1050,,
54,종로구,예지동,,36,,
55,종로구,원남동,8.0,504,0.015873015873015872,1.5873015873015872
56,종로구,연지동,,875,,
57,종로구,종로4가,24.0,23,1.0434782608695652,104.34782608695652
58,종로구,효제동,,828,,
59,종로구,종로5가,44.0,225,0.19555555555555557,19.555555555555557
60,종로구,종로6가,12.0,460,0.02608695652173913,2.608695652173913
61,종로구,이화동,,1681,,
62,종로구,연건동,18.0,1599,0.01125703564727955,1.125703564727955
63,종로구,충신동,,2996,,
64,종로구,동숭동,4.0,3619,0.0011052777010223818,0.11052777010223819
65,종로구,혜화동,8.0,3182,0.00251414204902577,0.251414204902577
66,종로구,명륜1가,4.0,4207,0.0009507962918944616,0.09507962918944615
67,종로구,명륜2가,8.0,3025,0.002644628099173554,0.2644628099173554
68,종로구,명륜4가,14.0,824,0.01699029126213592,1.6990291262135921
69,종로구,명륜3가,2.0,4609,0.00043393360815795185,0.04339336081579519
70,종로구,창신동,30.0,18376,0.0016325642141924248,0.1632564214192425
71,종로구,숭인동,12.0,15603,0.0007690828686791001,0.07690828686791001
72,종로구,교남동,2.0,560,0.0035714285714285713,0.35714285714285715
73,종로구,평동,20.0,1563,0.012795905310300703,1.2795905310300704
74,종로구,송월동,,905,,
75,종로구,홍파동,4.0,1587,0.002520478890989288,0.2520478890989288
76,종로구,교북동,2.0,904,0.0022123893805309734,0.22123893805309736
77,종로구,행촌동,,4196,,
78,종로구,구기동,4.0,5766,0.000693721817551162,0.0693721817551162
79,종로구,평창동,6.0,11621,0.0005163066861715859,0.05163066861715859
80,종로구,부암동,,4082,,
81,종로구,홍지동,,1564,,
82,종로구,신영동,2.0,3439,0.0005815644082582146,0.05815644082582146
83,종로구,무악동,6.0,7961,0.0007536741615374953,0.07536741615374952
84,중구,무교동,6.0,8,0.75,75.0
85,중구,다동,2.0,64,0.03125,3.125
86,중구,태평로1가,2.0,4,0.5,50.0
87,중구,을지로1가,2.0,1,2.0,200.0
88,중구,을지로2가,8.0,52,0.15384615384615385,15.384615384615385
89,중구,삼각동,,4,,
90,중구,장교동,2.0,2,1.0,100.0
91,중구,수표동,2.0,5,0.4,40.0
92,중구,소공동,4.0,1,4.0,400.0
93,중구,남창동,12.0,414,0.028985507246376812,2.898550724637681
94,중구,북창동,2.0,148,0.013513513513513514,1.3513513513513513
95,중구,태평로2가,6.0,49,0.12244897959183673,12.244897959183673
96,중구,남대문로2가,2.0,1,2.0,200.0
97,중구,남대문로3가,6.0,10,0.6,60.0
98,중구,남대문로4가,2.0,4,0.5,50.0
99,중구,남대문로5가,8.0,694,0.011527377521613832,1.1527377521613833
100,중구,봉래동1가,,45,,
101,중구,회현동1가,4.0,3211,0.0012457178449081284,0.12457178449081284
102,중구,회현동2가,,830,,
103,중구,회현동3가,,34,,
104,중구,충무로1가,6.0,16,0.375,37.5
105,중구,충무로2가,8.0,256,0.03125,3.125
106,중구,명동1가,6.0,11,0.5454545454545454,54.54545454545454
107,중구,명동2가,6.0,523,0.011472275334608031,1.147227533460803
108,중구,남산동1가,2.0,135,0.014814814814814815,1.4814814814814816
109,중구,남산동2가,,495,,
110,중구,남산동3가,,50,,
111,중구,저동1가,,14,,
112,중구,충무로4가,4.0,1566,0.002554278416347382,0.2554278416347382
113,중구,충무로5가,2.0,594,0.003367003367003367,0.33670033670033667
114,중구,인현동2가,2.0,1084,0.0018450184501845018,0.18450184501845018
115,중구,예관동,,21,,
116,중구,묵정동,2.0,890,0.0022471910112359553,0.22471910112359553
117,중구,필동1가,4.0,172,0.023255813953488372,2.3255813953488373
118,중구,필동2가,2.0,849,0.002355712603062426,0.23557126030624262
119,중구,필동3가,2.0,954,0.0020964360587002098,0.20964360587002098
120,중구,남학동,,43,,
121,중구,주자동,,17,,
122,중구,예장동,,778,,
123,중구,장충동1가,2.0,1704,0.0011737089201877935,0.11737089201877934
124,중구,장충동2가,,2851,,
125,중구,광희동1가,2.0,345,0.005797101449275362,0.5797101449275363
126,중구,광희동2가,2.0,838,0.002386634844868735,0.23866348448687352
127,중구,쌍림동,2.0,582,0.003436426116838488,0.3436426116838488
128,중구,을지로6가,12.0,156,0.07692307692307693,7.6923076923076925
129,중구,을지로7가,,49,,
130,중구,을지로4가,6.0,120,0.05,5.0
131,중구,을지로5가,,418,,
132,중구,주교동,,259,,
133,중구,방산동,,42,,
134,중구,오장동,2.0,711,0.0028129395218002813,0.2812939521800281
135,중구,을지로3가,2.0,220,0.00909090909090909,0.9090909090909091
136,중구,입정동,,1420,,
137,중구,산림동,,140,,
138,중구,충무로3가,,254,,
139,중구,초동,2.0,76,0.02631578947368421,2.631578947368421
140,중구,인현동1가,,79,,
141,중구,저동2가,8.0,254,0.031496062992125984,3.149606299212598
142,중구,신당동,72.0,67433,0.0010677264840656651,0.10677264840656651
143,중구,흥인동,6.0,2266,0.00264783759929391,0.264783759929391
144,중구,무학동,4.0,216,0.018518518518518517,1.8518518518518516
145,중구,황학동,12.0,12697,0.0009451051429471528,0.09451051429471528
146,중구,서소문동,10.0,21,0.47619047619047616,47.61904761904761
147,중구,정동,,527,,
148,중구,순화동,,1217,,
149,중구,의주로1가,,220,,
150,중구,중림동,8.0,6353,0.0012592475995592634,0.12592475995592634
151,중구,의주로2가,,8,,
