,자치구,합계,살인,강도,강간,절도,폭력,인구,1000명 당 범죄 발생수
0,종로구,3138,2,8,228,1313,1587,139417,22.50801552177998
1,중구,3071,1,5,194,1365,1506,121312,25.314890530203115
2,용산구,2967,5,7,280,978,1697,213151,13.919709501714747
3,성동구,2194,2,2,125,979,1086,277361,7.910268566957864
4,광진구,3619,6,-,230,1670,1713,335554,10.785149335129368
5,동대문구,3253,4,2,125,1556,1566,341149,9.535422938364174
6,중랑구,3599,2,2,150,1508,1937,382155,9.417644672973008
7,성북구,2749,3,1,158,1143,1444,425602,6.459086188504753
8,강북구,2832,5,5,177,872,1773,288113,9.829476628961553
9,도봉구,2141,3,-,70,969,1099,306948,6.975122822106677
10,노원구,3896,3,3,180,1504,2206,498213,7.819948495924434
11,은평구,3487,4,5,176,1497,1805,466770,7.470488677507123
12,서대문구,2374,5,6,157,1114,1092,306231,7.752317694812087
13,마포구,4096,2,2,436,1451,2205,363697,11.262122041149638
14,양천구,3169,2,3,114,1474,1576,436028,7.267881879145376
15,강서구,4663,3,7,261,1991,2401,563058,8.28156246780971
16,구로구,3857,11,8,217,1565,2056,392405,9.829130617601713
17,금천구,2577,2,3,127,1118,1327,227481,11.328418637160905
18,영등포구,4819,5,10,327,2062,2415,374794,12.857729846262213
19,동작구,2735,2,5,212,1195,1321,378769,7.220759882672552
20,관악구,4879,10,9,327,1966,2567,481956,10.12333076048436
21,서초구,4459,3,3,431,1921,2101,407664,10.937929275089289
22,강남구,6947,12,11,667,2495,3762,544873,12.749760035824863
23,송파구,5167,2,5,290,2201,2669,654166,7.898606775650217
24,강동구,3711,5,5,157,1672,1872,459167,8.082026800706497
