Region,university,touristArea,market,academyCount,parkRate,crimeRate,academyCountRank,parkRateRank,crimeRateRank,libraryCoutRank,busStationRank,cultureCountRank,medicalCountRank,youthRateRank,supermarketRank
종로구,"배화여자대학교, 상명대학교, 가톨릭대학교 성신교정, 숭실사이버대학교, 한국방송통신대학교, 고려사이버대학교, 성균관대학교, 서울대학교 연건캠퍼스, 중앙대학교 대학로캠퍼스, 중앙대학교 평동캠퍼스","경복궁, 경희궁, 광화문광장, 국립현대박물관, 북촌한옥마을, 서울역사박물관, 세종문화회관, 창경궁, 창덕궁, 흥인지문, 청계천","대학로(혜화), 인사동, 광장시장, 통인시장, 세운상가, 종로3가 포장마차 골목, 동대문종합시장, 동묘시장, 낙원상가",142,19.85,22.50801552,4,1,2,12.0,19.0,1.0,15.0,1.0,25.0
중구,"동국대학교, 정화예술대학교, 숭의여자대학교, 인제대학교 서울캠퍼스","남산 케이블카, 국립극장, 남산골한옥마을, 동대문디자인플라자(DDP), 대한극장, 명동성당, 서울광장, 서울특별시청, 장충체육관, 덕수궁, 청계천, 태극당, 장충단공원, 충무아트센터, 한국은행, 광희문, 숭례문, 흥인지문","신세계백화점 본점, 롯데백화점 본점, 명동, 충무로, 평화시장, 남대문시장, 서울중앙시장, 동대문쇼핑타운, 두타몰, 롯데영플라자명동점",45,10.63,25.31489053,14,3,1,12.0,25.0,3.0,22.0,2.0,6.0
용산구,"숙명여자대학교, 한국폴리텍대학 서울정수캠퍼스, 국방대학교 서울캠퍼스, 칼빈신학교","국립한글박물관, 남산서울타워, 용산공원, 이촌한강공원, 전쟁기념관, 효창운동장, 블루스퀘어, 용산 e-Sports 스타디움","용산전자상가, 용산전자랜드, 선인상가, 용산아이파크몰, 이태원, 경리단길, 용리단길, 롯데아울렛서울역점",22,6.91,13.9197095,24,6,3,23.0,21.0,4.0,24.0,5.0,22.0
성동구,"한양대학교, 한양사이버대학교, 한양여자대학교","서울숲, 왕십리광장, 소월아트홀","엔터식스 왕십리역점, 금남시장, 마장동 축산물시장",45,10.08,7.910268567,14,4,17,16.0,14.0,17.0,20.0,8.0,18.0
광진구,"건국대학교, 세종대학교, 세종사이버대학교, 장로회신학대학교","뚝섬한강공원, 청담대교, 나루아트센터, 예스24 라이브홀, 서울어린이대공원","롯데백화점 건대스타시티점, 테크노마트, 건대입구, 스타시티, 커먼그라운드",63,3.85,10.78514934,9,19,9,16.0,24.0,10.0,18.0,15.0,15.0
동대문구,"경희대학교, 경희사이버대학교, 한국외국어대학교, 사이버한국외국어대학교, 서울시립대학교, 삼육보건대학교, 카이스트 서울캠퍼스","청량리, 홍릉숲","롯데백화점 청량리점, 경동시장, 서울약령시장, 서울풍물시장, 청량리전통시장",59,2.97,9.535422938,10,24,13,6.0,23.0,12.0,4.0,11.0,15.0
중랑구,"서일대학교, 한국열린사이버대학교","서울장미공원, 망우리공원, 중랑캠핑숲, 용마테마공원, 용마폭포공원",엔터식스 상봉점,27,4.83,9.417644673,21,14,14,21.0,17.0,20.0,15.0,19.0,3.0
성북구,"고려대학교, 한국예술종합대학교, 한성대학교, 성신여자대학교, 국민대학교, 서경대학교, 동덕여자대학교","서울 정릉, 혜화문(홍화문), 성북구립미술관","돈암시장, 길음시장, 보문시장",26,3.8,6.459086189,22,20,25,2.0,3.0,8.0,12.0,3.0,6.0
강북구,"성신여자대학교 운정그린캠퍼스, 서울사이버대학교","북한산, 구천폭포, 북서울꿈의숲 국립4·19민주묘지, 근현대사기념관, 화계사","롯데백화점 미아점, 현대백화점 미아점, 미아 와이스퀘어, 숭인시장",24,6.9,9.829476629,23,7,11,16.0,13.0,25.0,19.0,23.0,18.0
도봉구,덕성여자대학교,"로봇과학관, 둘리뮤지엄, 우이천","방학동도깨비시장, 쌍리단길",18,3.57,6.975122822,25,22,24,6.0,16.0,12.0,25.0,24.0,18.0
노원구,"광운대학교, 서울과학기술대학교, 한국성서대학교, 삼육대학교, 서울여자대학교, 인덕대학교, 육군사관학교","태릉선수촌, 육군박물관, 태릉, 경춘선숲길, 서울생활사박물관",롯데백화점 노원점,52,3.73,7.819948496,12,21,19,6.0,6.0,9.0,8.0,21.0,4.0
은평구,서울기독대학교,"서울기록원, 진관사, 사비나미술관, 은평역사한옥박물관, 불광동성당, 수국사, 불광천","롯데몰 은평, NC백화점 불광점",35,4.71,7.470488678,18,15,21,12.0,15.0,15.0,9.0,14.0,15.0
서대문구,"경기대학교, 이화여자대학교, 디지털서울문화예술대학교, 서울문화예술대학교, 명지전문대학, 추계예술대학교, 연세대학교, 감리교신학대학교, 명지대학교 인문캠퍼스, 서울여자간호대학교","독립문, 서대문형무소역사관, 국립대한민국임시정부기념관, 서대문자연사박물관, 봉원사","이대패션거리, 신촌, 현대백화점 신촌점, 인왕시장",59,3.52,7.752317695,10,23,20,23.0,12.0,19.0,20.0,7.0,22.0
마포구,"홍익대학교, 서강대학교","디지털미디어시티, 문화방송 상암동 사옥(MBC), 서울월드컵경기장, 월드컵공원, 경의선숲길, 망원한강공원, 서울성니콜라스대성당","메세나폴리스, 망리단길, 망원시장, 홍대입구, AK플라자 홍대점, 연남동",188,11.57,11.26212204,3,2,7,19.0,4.0,6.0,11.0,6.0,6.0
양천구,,"목동종합운동장, 목동아이스링크장, 목동 SBS 방송센터, 서서울호수공원","목동로데오거리, 현대백화점목동점",34,4.97,7.267881879,19,13,22,4.0,20.0,18.0,13.0,25.0,6.0
강서구,"정석대학, 한국폴리텍대학 서울강서캠퍼스, 서울디지털대학교, 강서대학교, 호원대학교 서울캠퍼스","서울식물원, 김포공항 전망대, 국립항공박물관","롯데백화점김포공항점, NC백화점 강서점",47,6.14,8.281562468,13,10,15,6.0,2.0,20.0,3.0,9.0,6.0
구로구,"서울한영대학교, 동양미래대학교, 성공회대학교","고척스카이돔, 푸른수목원, 황동철길","현대백화점디큐브시티, 리치몰, NC백화점 신구로점",45,3.96,9.829130618,14,17,12,2.0,8.0,10.0,17.0,16.0,6.0
