구_동,대형마트 수,구,동
금천구 독산동,3,금천구,독산동
양천구 목동,3,양천구,목동
강동구 천호동,3,강동구,천호동
강서구 방화동,2,강서구,방화동
강남구 삼성동,2,강남구,삼성동
강남구 압구정동,2,강남구,압구정동
중랑구 상봉동,2,중랑구,상봉동
서초구 양재동,2,서초구,양재동
성북구 길음동,2,성북구,길음동
노원구 월계동,2,노원구,월계동
성북구 하월곡동,2,성북구,하월곡동
광진구 자양동,2,광진구,자양동
영등포구 영등포동4가,2,영등포구,영등포동4가
영등포구 여의도동,2,영등포구,여의도동
구로구 구로동,2,구로구,구로동
송파구 문정동,2,송파구,문정동
송파구 신천동,2,송파구,신천동
노원구 중계동,2,노원구,중계동
동대문구 전농동,2,동대문구,전농동
강북구 미아동,2,강북구,미아동
성동구 행당동,2,성동구,행당동
영등포구 양평동,1,영등포구,양평동
도봉구 방학동,1,도봉구,방학동
관악구 남현동,1,관악구,남현동
금천구 시흥동,1,금천구,시흥동
중랑구 신내동,1,중랑구,신내동
구로구 신도림동,1,구로구,신도림동
영등포구 문래동3가,1,영등포구,문래동3가
마포구 성산동,1,마포구,성산동
마포구 서교동,1,마포구,서교동
영등포구 영등포동8가,1,영등포구,영등포동8가
동대문구 용두동,1,동대문구,용두동
구로구 고척동,1,구로구,고척동
서초구 반포동,1,서초구,반포동
중구 소공동,1,중구,소공동
강남구 대치동,1,강남구,대치동
관악구 봉천동,1,관악구,봉천동
노원구 상계동,1,노원구,상계동
영등포구 영등포동,1,영등포구,영등포동
서초구 서초동,1,서초구,서초동
중랑구 면목동,1,중랑구,면목동
영등포구 양평동3가,1,영등포구,양평동3가
강서구 등촌동,1,강서구,등촌동
강서구 가양동,1,강서구,가양동
광진구 구의동,1,광진구,구의동
은평구 응암동,1,은평구,응암동
송파구 잠실동,1,송파구,잠실동
강남구 역삼동,1,강남구,역삼동
동작구 사당동,1,동작구,사당동
도봉구 창동,1,도봉구,창동
중구 황학동,1,중구,황학동
마포구 신공덕동,1,마포구,신공덕동
은평구 수색동,1,은평구,수색동
은평구 진관동,1,은평구,진관동
마포구 노고산동,1,마포구,노고산동
강동구 명일동,1,강동구,명일동
중랑구 묵동,1,중랑구,묵동
중랑구 망우동,1,중랑구,망우동
강남구 수서동,1,강남구,수서동
양천구 신월동,1,양천구,신월동
중구 봉래동2가,1,중구,봉래동2가
서대문구 창천동,1,서대문구,창천동
용산구 한강로3가,1,용산구,한강로3가
중구 충무로1가,1,중구,충무로1가
