,법정동,자치구,공원면적,인구,1인 당 공원면적(m^2/명)
0,청운동,종로구,,2289,
1,신교동,종로구,,1340,
2,궁정동,종로구,,211,
3,효자동,종로구,,570,
4,창성동,종로구,,404,
5,통의동,종로구,,319,
6,적선동,종로구,,38,
7,통인동,종로구,,718,
8,누상동,종로구,,3174,
9,누하동,종로구,,780,
10,옥인동,종로구,202176.1,1863,108.52179280730006
11,체부동,종로구,,693,
12,필운동,종로구,,981,
13,내자동,종로구,,83,
14,사직동,종로구,168099.8,3172,52.994892812105924
15,도렴동,종로구,,2,
16,당주동,종로구,,282,
17,내수동,종로구,4584.299999999999,2642,1.7351627554882663
18,신문로1가,종로구,1702.0,74,23.0
19,신문로2가,종로구,101595.0,712,142.68960674157304
20,청진동,종로구,2802.0,53,52.867924528301884
21,서린동,종로구,1398.0,2,699.0
22,수송동,종로구,3567.2,239,14.9255230125523
23,중학동,종로구,,4,
24,종로1가,종로구,,106,
25,공평동,종로구,,1,
26,관훈동,종로구,,111,
27,견지동,종로구,,231,
28,와룡동,종로구,491328.0,94,5226.893617021276
29,권농동,종로구,,133,
30,운니동,종로구,,169,
31,익선동,종로구,,1009,
32,경운동,종로구,,255,
33,관철동,종로구,,244,
34,인사동,종로구,219.9,82,2.6817073170731707
35,낙원동,종로구,,848,
36,종로2가,종로구,14808.7,53,279.4094339622642
37,팔판동,종로구,,272,
38,삼청동,종로구,468348.2,1259,372.0001588562351
39,안국동,종로구,,251,
40,소격동,종로구,,134,
41,화동,종로구,,203,
42,사간동,종로구,,129,
43,가회동,종로구,,979,
44,재동,종로구,,85,
45,계동,종로구,,1031,
46,원서동,종로구,10004.6,1765,5.668328611898017
47,묘동,종로구,,34,
48,봉익동,종로구,,58,
49,돈의동,종로구,,788,
50,장사동,종로구,,71,
51,관수동,종로구,,383,
52,종로3가,종로구,,124,
53,인의동,종로구,,1050,
54,예지동,종로구,,36,
55,원남동,종로구,,504,
56,연지동,종로구,3301.7999999999997,875,3.773485714285714
57,종로4가,종로구,,23,
58,효제동,종로구,,828,
59,종로5가,종로구,,225,
60,종로6가,종로구,11519.7,460,25.042826086956524
61,이화동,종로구,,1681,
62,연건동,종로구,,1599,
63,충신동,종로구,,2996,
64,동숭동,종로구,5802.0,3619,1.603205305332965
65,혜화동,종로구,,3182,
66,명륜1가,종로구,1149.5,4207,0.2732350843831709
67,명륜2가,종로구,,3025,
68,명륜4가,종로구,,824,
69,명륜3가,종로구,207638.0,4609,45.0505532653504
70,창신동,종로구,3878.0,18376,0.21103613408794078
71,숭인동,종로구,54065.0,15603,3.465038774594629
72,교남동,종로구,,560,
73,평동,종로구,,1563,
74,송월동,종로구,15773.1,905,17.428839779005525
75,홍파동,종로구,,1587,
76,교북동,종로구,,904,
77,행촌동,종로구,491.4,4196,0.1171115347950429
78,구기동,종로구,,5766,
79,평창동,종로구,28477.0,11621,2.450477583684709
80,부암동,종로구,1258.0,4082,0.3081822635962763
81,홍지동,종로구,,1564,
82,신영동,종로구,,3439,
83,무악동,종로구,7245.8,7961,0.9101620399447305
84,무교동,중구,570.2,8,71.275
85,다동,중구,,64,
86,태평로1가,중구,1245.4,4,311.35
87,을지로1가,중구,,1,
88,을지로2가,중구,410.0,52,7.884615384615385
89,삼각동,중구,2105.7,4,526.425
90,장교동,중구,,2,
91,수표동,중구,,5,
92,소공동,중구,,1,
93,남창동,중구,,414,
94,북창동,중구,,148,
95,태평로2가,중구,,49,
96,남대문로2가,중구,,1,
97,남대문로3가,중구,,10,
98,남대문로4가,중구,,4,
99,남대문로5가,중구,1576.2,694,2.2711815561959656
100,봉래동1가,중구,,45,
101,회현동1가,중구,,3211,
102,회현동2가,중구,,830,
103,회현동3가,중구,,34,
104,충무로1가,중구,,16,
105,충무로2가,중구,,256,
106,명동1가,중구,,11,
107,명동2가,중구,,523,
108,남산동1가,중구,,135,
109,남산동2가,중구,,495,
110,남산동3가,중구,,50,
111,저동1가,중구,3167.0,14,226.21428571428572
112,충무로4가,중구,,1566,
113,충무로5가,중구,3907.4,594,6.578114478114478
114,인현동2가,중구,,1084,
115,예관동,중구,1317.7,21,62.74761904761905
116,묵정동,중구,,890,
117,필동1가,중구,,172,
118,필동2가,중구,,849,
119,필동3가,중구,,954,
120,남학동,중구,,43,
121,주자동,중구,,17,
122,예장동,중구,,778,
123,장충동1가,중구,,1704,
124,장충동2가,중구,,2851,
125,광희동1가,중구,,345,
126,광희동2가,중구,,838,
127,쌍림동,중구,169.4,582,0.29106529209621995
128,을지로6가,중구,,156,
129,을지로7가,중구,,49,
130,을지로4가,중구,,120,
131,을지로5가,중구,17927.9,418,42.889712918660294
132,주교동,중구,,259,
133,방산동,중구,,42,
134,오장동,중구,,711,
135,을지로3가,중구,,220,
136,입정동,중구,,1420,
137,산림동,중구,,140,
138,충무로3가,중구,,254,
139,초동,중구,,76,
140,인현동1가,중구,,79,
141,저동2가,중구,389.2,254,1.532283464566929
142,신당동,중구,116180.5,67433,1.7229027330832085
143,흥인동,중구,,2266,
144,무학동,중구,,216,
145,황학동,중구,1087.0,12697,0.0856107741986296
146,서소문동,중구,397.5,21,18.928571428571427
147,정동,중구,11750.0,527,22.296015180265655
148,순화동,중구,3560.3,1217,2.9254724732949877
149,의주로1가,중구,1039.0,220,4.722727272727273
150,중림동,중구,,6353,
151,의주로2가,중구,21363.0,8,2670.375
152,만리동1가,중구,,1320,
153,만리동2가,중구,34707.9,4467,7.76984553391538
154,후암동,용산구,2522.0,15998,0.1576447055881985
155,용산동2가,용산구,,8910,
156,용산동4가,용산구,,2,
157,갈월동,용산구,,2748,
158,남영동,용산구,,604,
159,동자동,용산구,5163.0,3477,1.4849007765314928
160,서계동,용산구,4479.4,4812,0.9308811305070656
161,청파동1가,용산구,,7184,
162,청파동2가,용산구,,3306,
163,청파동3가,용산구,3447.0,3541,0.9734538266026547
164,원효로1가,용산구,,6857,
165,원효로2가,용산구,,1730,
166,신창동,용산구,257.0,2279,0.11276875822729267
167,산천동,용산구,,4922,
168,청암동,용산구,,643,
169,원효로3가,용산구,2300.0,2093,1.098901098901099
170,원효로4가,용산구,,3699,
171,효창동,용산구,174662.4,10685,16.346504445484324
172,도원동,용산구,1500.0,5306,0.28269883151149644
173,용문동,용산구,,6101,
174,문배동,용산구,4429.0,5681,0.7796162647421229
175,신계동,용산구,15000.0,2739,5.47645125958379
176,한강로1가,용산구,2090.0,3206,0.6519026824703681
177,한강로2가,용산구,2410.0,7255,0.33218470020675395
178,용산동3가,용산구,803.0,269,2.9851301115241635
179,용산동5가,용산구,14877.5,2379,6.253678015973098
180,한강로3가,용산구,3301.3,7907,0.4175161249525737
181,이촌동,용산구,13262.0,32801,0.40431694155665987
182,이태원동,용산구,7653.0,14683,0.5212150105564258
183,한남동,용산구,188735.0,17755,10.629963390594199
184,동빙고동,용산구,,6014,
185,서빙고동,용산구,,5597,
186,주성동,용산구,,821,
187,보광동,용산구,,11147,
188,상왕십리동,성동구,4017.0,3660,1.0975409836065573
189,하왕십리동,성동구,43686.6,30226,1.4453318335208098
190,홍익동,성동구,2332.5,3772,0.6183722163308589
191,도선동,성동구,,4706,
192,마장동,성동구,3175.5,21573,0.14719788624669727
193,사근동,성동구,496.0,6694,0.07409620555721541
194,행당동,성동구,11084.3,41789,0.2652444423173562
195,응봉동,성동구,2419.7,14941,0.16195033799611805
196,금호동1가,성동구,,14745,
197,금호동2가,성동구,3821.0,9736,0.3924609695973706
198,금호동3가,성동구,14301.8,12217,1.1706474584595234
199,금호동4가,성동구,65093.23,14154,4.598928218171542
200,옥수동,성동구,2718.46,25402,0.1070175576726242
201,성수동1가,성동구,6632.3,27335,0.24263032741905982
202,성수동2가,성동구,12598.9,24652,0.5110700957325978
203,송정동,성동구,721.8,9838,0.07336857084773328
204,용답동,성동구,6046.9,11921,0.5072477141179431
205,중곡동,광진구,5615.1,79081,0.0710044131965959
206,능동,광진구,2580.0,11097,0.23249526899161935
207,구의동,광진구,19043.8,76577,0.24868824842968515
208,광장동,광진구,1337.0,33971,0.03935709870183392
209,자양동,광진구,12785.8,92565,0.13812780208502132
210,화양동,광진구,6288.5,23193,0.27113784331479324
211,군자동,광진구,880.0,19070,0.04614577871001573
212,신설동,동대문구,5294.2,3666,1.4441352973267867
213,용두동,동대문구,26756.7,34744,0.7701099470412158
214,제기동,동대문구,5470.0,23014,0.23768141131485182
215,전농동,동대문구,276390.4,50115,5.5151232166018165
216,답십리동,동대문구,177786.1,55356,3.2116861767468747
217,장안동,동대문구,47187.8,70078,0.6733611119038786
218,청량리동,동대문구,345784.0,18742,18.449685199018248
219,회기동,동대문구,400.0,10394,0.03848374061958822
220,휘경동,동대문구,9454.2,37876,0.24960925124089134
221,이문동,동대문구,1656.0,37164,0.044559250887956085
222,면목동,중랑구,29165.2,134764,0.21641684722923035
223,상봉동,중랑구,4307.3,43498,0.09902294358361305
224,중화동,중랑구,6658.8,42559,0.1564604431495101
225,묵동,중랑구,563057.7000000001,51761,10.878029790769114
226,망우동,중랑구,596521.0,52120,11.445145817344589
227,신내동,중랑구,336434.9,57453,5.8558282422153765
228,성북동,성북구,157366.6,10158,15.491888166962001
229,성북동1가,성북구,,1832,
230,돈암동,성북구,211058.0,38248,5.518144739594227
231,동소문동1가,성북구,,922,
232,동소문동2가,성북구,,507,
233,동소문동3가,성북구,,152,
234,동소문동4가,성북구,,3014,
235,동소문동5가,성북구,,1124,
236,동소문동6가,성북구,,1854,
237,동소문동7가,성북구,,2316,
238,삼선동1가,성북구,10957.0,4193,2.6131647984736466
239,삼선동2가,성북구,,5618,
240,삼선동3가,성북구,877.0,3780,0.232010582010582
241,삼선동4가,성북구,,3109,
242,삼선동5가,성북구,,3715,
243,동선동1가,성북구,,1193,
244,동선동2가,성북구,,2165,
245,동선동3가,성북구,,2867,
246,동선동4가,성북구,,2059,
247,동선동5가,성북구,,2055,
248,안암동1가,성북구,,3901,
249,안암동2가,성북구,1514.0,2316,0.653713298791019
250,안암동3가,성북구,,3668,
251,안암동4가,성북구,,997,
252,안암동5가,성북구,,4033,
253,보문동4가,성북구,,940,
254,보문동5가,성북구,,1788,
255,보문동6가,성북구,6851.900000000001,6156,1.1130441845354127
256,보문동7가,성북구,1564.0,1019,1.5348380765456329
257,보문동1가,성북구,,1698,
258,보문동2가,성북구,,2014,
259,보문동3가,성북구,6730.0,2555,2.6340508806262233
260,정릉동,성북구,105568.0,77990,1.3536094371073215
261,길음동,성북구,16452.1,54096,0.3041278467908902
262,종암동,성북구,6659.0,37683,0.17671098373271768
263,하월곡동,성북구,241009.7,38970,6.184493199897357
264,상월곡동,성북구,1300.0,9090,0.14301430143014301
265,장위동,성북구,6673.2,52017,0.1282888286521714
266,석관동,성북구,335020.4,33790,9.914779520568215
267,미아동,강북구,218701.9,127245,1.7187465126331094
268,번동,강북구,1353209.7,48603,27.842102339361766
269,수유동,강북구,380.0,101608,0.0037398630029131566
270,우이동,강북구,46516.0,10657,4.364830627756405
271,쌍문동,도봉구,333552.0,73064,4.56520310960254
272,방학동,도봉구,38151.0,72382,0.5270785554419607
273,창동,도봉구,712536.0,115472,6.170638769571844
274,도봉동,도봉구,112303.0,46030,2.4397784053877904
275,월계동,노원구,1224307.7,74760,16.376507490636705
276,공릉동,노원구,27393.699999999997,77450,0.35369528728211747
277,하계동,노원구,51781.4,47450,1.0912834562697578
278,상계동,노원구,6807377.5,197542,34.460405888368044
279,중계동,노원구,5408350.7,101011,53.542195404460905
280,수색동,은평구,,20441,
281,녹번동,은평구,73260.1,36111,2.028747473069148
282,불광동,은평구,184947.2,64177,2.8818299390747466
283,갈현동,은평구,2051.0,41923,0.04892302554683586
284,구산동,은평구,177624.1,31453,5.647286427367819
285,대조동,은평구,268.8,27369,0.009821330702619752
286,응암동,은평구,10652.5,83446,0.1276574071854852
287,역촌동,은평구,,43804,
288,신사동,은평구,71848.1,45406,1.582348147821874
289,증산동,은평구,,18258,
290,진관동,은평구,984355.4,54382,18.100757603618845
291,충정로2가,서대문구,,1126,
292,충정로3가,서대문구,,4936,
293,합동,서대문구,381.3,1066,0.3576923076923077
294,미근동,서대문구,,435,
295,냉천동,서대문구,,3046,
296,천연동,서대문구,,4540,
297,옥천동,서대문구,,953,
298,영천동,서대문구,2600.0,2963,0.8774890313871077
299,현저동,서대문구,113021.7,5084,22.2308615263572
300,북아현동,서대문구,9459.2,27560,0.34322206095791
301,홍제동,서대문구,16786.5,55575,0.30205128205128207
302,대현동,서대문구,3063.9,6760,0.4532396449704142
303,대신동,서대문구,,1561,
304,신촌동,서대문구,,838,
305,봉원동,서대문구,,374,
306,창천동,서대문구,9276.0,10707,0.8663491173998319
307,연희동,서대문구,134034.6,33990,3.9433539276257723
308,홍은동,서대문구,1017771.8,50700,20.074394477317554
309,북가좌동,서대문구,28315.7,48242,0.5869512043447619
310,남가좌동,서대문구,24008.1,45775,0.5244806116876024
311,아현동,마포구,17986.0,28150,0.6389342806394316
312,공덕동,마포구,7970.2,25540,0.3120673453406421
313,신공덕동,마포구,883.0,12401,0.07120393516651882
314,도화동,마포구,6228.0,21429,0.2906341873162537
315,용강동,마포구,4670.0,7416,0.6297195253505933
316,토정동,마포구,,1248,
317,마포동,마포구,2030.0,2662,0.7625845229151015
318,대흥동,마포구,534868.0,16364,32.685651429968225
319,염리동,마포구,4036.8,18042,0.22374459594280013
320,노고산동,마포구,1959.1,5832,0.3359224965706447
321,신수동,마포구,4499.2,15386,0.2924216820486156
322,현석동,마포구,7660.0,4979,1.5384615384615385
323,구수동,마포구,,757,
324,창전동,마포구,4967.0,14683,0.3382823673636178
325,상수동,마포구,5696.0,7409,0.7687947091375354
326,하중동,마포구,,1463,
327,신정동,마포구,1638.0,1540,1.0636363636363637
328,당인동,마포구,301.0,1017,0.295968534906588
329,서교동,마포구,7770.0,19321,0.4021530976657523
330,동교동,마포구,4229.0,3487,1.2127903642099225
331,합정동,마포구,6192.0,16338,0.37899375688578774
332,망원동,마포구,4766.0,37081,0.1285294355599903
333,연남동,마포구,1987.0,14227,0.13966401911857734
334,성산동,마포구,5788.0,47572,0.12166820818969142
335,중동,마포구,2760.0,9692,0.28477094510936857
336,상암동,마포구,217218.0,29661,7.323353899059371
337,신정동,양천구,,172038,
338,목동,양천구,,145532,
339,신월동,양천구,1003471.0,118458,8.471112124128384
340,염창동,강서구,115676.9,41285,2.8019111057284727
341,등촌동,강서구,48255.2,73691,0.6548316619397212
342,화곡동,강서구,1411042.7,217411,6.490208407118315
343,가양동,강서구,228304.5,43227,5.281525435491707
344,마곡동,강서구,559789.9,54028,10.361107203672171
345,내발산동,강서구,125952.40000000001,44623,2.822589247697376
346,외발산동,강서구,2000.0,950,2.1052631578947367
347,공항동,강서구,30712.3,17259,1.7794947563590011
348,방화동,강서구,313348.3,68913,4.547012900323597
349,개화동,강서구,386500.0,1649,234.3844754396604
350,오곡동,강서구,,12,
351,오쇠동,강서구,,10,
352,신도림동,구로구,819522.0,35998,22.76576476470915
353,구로동,구로구,2016182.3900000001,114017,17.683173474131053
354,가리봉동,구로구,,8766,
355,고척동,구로구,764416.3,52187,14.647638300726236
356,개봉동,구로구,9537907.1,82438,115.69794390936218
