,행정동,총 문화시설 수,총 인구수,1인당 문화시설 비율,1인당 문화시설 백분율
0,서초동,21,106213.0,0.00019771591048176778,0.019771591048176777
1,한남동,18,17755.0,0.0010137989298789074,0.10137989298789074
2,동숭동,16,3619.0,0.004421110804089527,0.44211108040895275
3,잠실동,15,105885.0,0.00014166312508853945,0.014166312508853945
4,관훈동,15,111.0,0.13513513513513514,13.513513513513514
5,신사동,14,45406.0,0.00030832929568779454,0.030832929568779456
6,신사동,14,10796.0,0.0012967765839199705,0.12967765839199705
7,서교동,13,19321.0,0.0006728430205475907,0.06728430205475906
8,정동,12,527.0,0.022770398481973434,2.2770398481973433
9,삼성동,11,42743.0,0.00025735208104250986,0.025735208104250985
10,구로동,11,114017.0,9.647684117280756e-05,0.009647684117280756
11,역삼동,11,70529.0,0.00015596421330232955,0.015596421330232955
12,대치동,10,80762.0,0.00012382060870211239,0.012382060870211238
13,세종로,9,,,
14,여의도동,9,33350.0,0.0002698650674662669,0.026986506746626688
15,반포동,9,75816.0,0.00011870845204178538,0.011870845204178538
16,상암동,9,29661.0,0.0003034287448164256,0.03034287448164256
17,가회동,9,979.0,0.009193054136874362,0.9193054136874361
18,성수동1가,9,27335.0,0.00032924821657216025,0.032924821657216025
19,평창동,8,11621.0,0.0006884089148954479,0.06884089148954478
20,공릉동,8,77450.0,0.00010329244673983215,0.010329244673983216
21,청담동,8,24629.0,0.0003248203337528929,0.03248203337528929
22,상계동,8,197542.0,4.049771694120744e-05,0.004049771694120744
23,중계동,8,101011.0,7.919929512627338e-05,0.007919929512627337
24,혜화동,8,3182.0,0.00251414204902577,0.251414204902577
25,방학동,8,72382.0,0.00011052471608963555,0.011052471608963554
26,부암동,7,4082.0,0.0017148456638902498,0.17148456638902498
27,창동,7,115472.0,6.062075654704171e-05,0.006062075654704171
28,성북동,7,10158.0,0.000689112029927151,0.0689112029927151
29,목동,7,145532.0,4.8099387076381826e-05,0.004809938707638183
30,진관동,7,54382.0,0.00012871906145415764,0.012871906145415763
31,신림동,7,242494.0,2.8866693608914036e-05,0.0028866693608914037
