,행정동,총 병의원 및 약국 수,총 인구수,1인당 병의원 및 약국 비율,1인당 병의원 및 약국 백분율
0,상계동,212,197542.0,0.001073189498941997,0.10731894989419971
1,서초동,212,106213.0,0.001995989191530227,0.19959891915302272
2,봉천동,204,221775.0,0.0009198512005410889,0.09198512005410889
3,신림동,202,242494.0,0.000833010301285805,0.0833010301285805
4,역삼동,192,70529.0,0.0027222844503679336,0.2722284450367934
5,화곡동,176,217411.0,0.0008095266568848862,0.08095266568848862
6,신사동,174,45406.0,0.0038320926749768752,0.3832092674976875
7,신사동,174,10796.0,0.0161170804001482,1.6117080400148203
8,구로동,168,114017.0,0.0014734644833665155,0.14734644833665156
9,목동,148,145532.0,0.0010169584696149302,0.10169584696149302
10,미아동,142,127245.0,0.0011159574050060906,0.11159574050060907
11,논현동,140,41447.0,0.0033778078027360244,0.3377807802736024
12,면목동,130,134764.0,0.000964649312872874,0.0964649312872874
13,제기동,128,23014.0,0.005561831928391414,0.5561831928391414
14,시흥동,124,100509.0,0.0012337203633505458,0.12337203633505459
15,신정동,118,1540.0,0.07662337662337662,7.662337662337662
16,신정동,118,172038.0,0.0006858949766911962,0.06858949766911962
17,천호동,118,84811.0,0.0013913289549704637,0.13913289549704635
18,대치동,112,80762.0,0.0013867908174636586,0.13867908174636587
19,수유동,110,101608.0,0.0010825919218959137,0.10825919218959137
20,잠실동,108,105885.0,0.001019974500637484,0.1019974500637484
21,여의도동,106,33350.0,0.0031784107946026987,0.31784107946026985
22,신월동,102,118458.0,0.0008610646811528137,0.08610646811528136
23,신길동,102,102573.0,0.0009944137346085226,0.09944137346085226
24,자양동,98,92565.0,0.001058715497218171,0.10587154972181709
25,장안동,96,70078.0,0.0013699021090784554,0.13699021090784552
26,상도동,94,113674.0,0.000826926122068371,0.0826926122068371
27,가락동,94,83866.0,0.001120835618725109,0.11208356187251091
28,응암동,94,83446.0,0.0011264770030918198,0.11264770030918199
29,독산동,94,102277.0,0.0009190727142954916,0.09190727142954916
30,방배동,90,94571.0,0.0009516659441054869,0.09516659441054869
31,마곡동,90,54028.0,0.0016658029170059968,0.16658029170059968
32,사당동,88,96784.0,0.0009092411968920483,0.09092411968920483
33,대림동,88,47046.0,0.001870509713897037,0.1870509713897037
34,성내동,84,65333.0,0.001285720845514518,0.1285720845514518
35,등촌동,82,73691.0,0.0011127546104680354,0.11127546104680354
36,창동,80,115472.0,0.0006928086462519052,0.06928086462519052
37,중계동,80,101011.0,0.0007919929512627338,0.07919929512627338
38,공릉동,80,77450.0,0.0010329244673983216,0.10329244673983216
39,반포동,78,75816.0,0.00102880658436214,0.102880658436214
40,중곡동,78,79081.0,0.0009863304712889316,0.09863304712889316
41,명일동,76,42314.0,0.0017960958547998298,0.17960958547998299
42,길동,74,44675.0,0.0016564073866815892,0.16564073866815893
43,삼성동,74,42743.0,0.0017312776361041574,0.17312776361041574
44,신당동,72,67433.0,0.0010677264840656651,0.10677264840656651
45,문정동,70,61417.0,0.0011397495807349757,0.11397495807349757
46,신천동,68,37715.0,0.001802996155375845,0.1802996155375845
47,개포동,68,75386.0,0.0009020242485342106,0.09020242485342106
48,풍납동,66,35496.0,0.0018593644354293441,0.18593644354293443
49,쌍문동,62,73064.0,0.0008485711157341509,0.08485711157341509
50,홍제동,62,55575.0,0.0011156095366621683,0.11156095366621684
51,도곡동,62,53215.0,0.0011650850324156723,0.11650850324156722
52,방이동,62,59160.0,0.0010480054090601758,0.10480054090601758
53,구의동,60,76577.0,0.0007835250793319143,0.07835250793319143
54,망우동,60,52120.0,0.0011511895625479663,0.11511895625479662
55,일원동,58,47748.0,0.001214710563793248,0.12147105637932479
56,전농동,56,50115.0,0.0011174299112042302,0.11174299112042302
57,하월곡동,56,38970.0,0.001437002822684116,0.1437002822684116
58,개봉동,56,82438.0,0.0006792983818142119,0.06792983818142119
59,방학동,54,72382.0,0.0007460418336050399,0.07460418336050399
60,행당동,54,41789.0,0.0012922060829404867,0.12922060829404866
61,답십리동,54,55356.0,0.0009755040104053761,0.09755040104053761
62,불광동,52,64177.0,0.0008102591271016096,0.08102591271016096
63,청담동,52,24629.0,0.002111332169393804,0.21113321693938042
64,신내동,52,57453.0,0.0009050876368509913,0.09050876368509912
65,석촌동,52,30766.0,0.0016901774686342067,0.16901774686342066
66,방화동,52,68913.0,0.0007545746085644218,0.07545746085644217
67,월계동,52,74760.0,0.0006955591225254146,0.06955591225254146
68,진관동,50,54382.0,0.0009194218675296973,0.09194218675296972
69,내발산동,48,44623.0,0.0010756784617797996,0.10756784617797996
70,정릉동,48,77990.0,0.0006154635209642262,0.06154635209642262
71,흑석동,48,29961.0,0.0016020827075197757,0.16020827075197758
72,양재동,48,35620.0,0.001347557551937114,0.13475575519371139
73,대조동,48,27369.0,0.0017538090540392415,0.17538090540392415
74,암사동,48,65775.0,0.0007297605473204105,0.07297605473204105
75,잠원동,48,50584.0,0.0009489166534872687,0.09489166534872687
76,갈현동,46,41923.0,0.0010972497197242563,0.10972497197242563
77,신대방동,46,45320.0,0.0010150044130626656,0.10150044130626656
78,송파동,46,41914.0,0.0010974853270983443,0.10974853270983444
79,남가좌동,44,45775.0,0.0009612233752048061,0.0961223375204806
80,청량리동,44,18742.0,0.0023476683384910896,0.23476683384910896
81,가산동,44,24695.0,0.0017817371937639199,0.17817371937639198
82,종로5가,44,225.0,0.19555555555555557,19.555555555555557
83,고척동,42,52187.0,0.0008047981298024413,0.08047981298024413
84,성수동2가,42,24652.0,0.0017037157228622425,0.17037157228622424
85,번동,42,48603.0,0.0008641441886303315,0.08641441886303315
86,장위동,40,52017.0,0.0007689793721283426,0.07689793721283426
87,상봉동,40,43498.0,0.0009195825095406685,0.09195825095406684
88,마천동,38,35566.0,0.0010684361468818536,0.10684361468818536
89,묵동,38,51761.0,0.0007341434670891211,0.07341434670891211
90,노량진동,38,31412.0,0.0012097287660766587,0.12097287660766587
91,도화동,38,21429.0,0.0017732978673759858,0.17732978673759858
92,이문동,38,37164.0,0.0010224948875255625,0.10224948875255625
93,중화동,36,42559.0,0.0008458845367607322,0.08458845367607322
94,종암동,36,37683.0,0.0009553379508000956,0.09553379508000956
95,길음동,36,54096.0,0.0006654835847382431,0.06654835847382432
96,망원동,36,37081.0,0.0009708476038941777,0.09708476038941777
97,휘경동,36,37876.0,0.0009504699545886577,0.09504699545886577
98,서교동,36,19321.0,0.0018632575953625588,0.18632575953625588
99,북가좌동,36,48242.0,0.0007462377181708884,0.07462377181708883
100,역촌동,34,43804.0,0.0007761848233038079,0.0776184823303808
101,하왕십리동,34,30226.0,0.0011248593925759281,0.11248593925759282
102,대방동,34,35638.0,0.0009540378247937595,0.09540378247937595
103,가양동,34,43227.0,0.0007865454461332038,0.07865454461332037
104,둔촌동,34,24349.0,0.0013963612468684545,0.13963612468684544
105,용두동,34,34744.0,0.000978586230716095,0.09785862307160949
106,창천동,34,10707.0,0.0031754926683478096,0.31754926683478096
107,하계동,34,47450.0,0.0007165437302423603,0.07165437302423604
108,상암동,32,29661.0,0.0010788577593472911,0.10788577593472912
109,오류동,32,43725.0,0.0007318467695826186,0.07318467695826186
110,거여동,32,52677.0,0.0006074757484291057,0.06074757484291057
111,회기동,32,10394.0,0.003078699249567058,0.3078699249567058
112,도봉동,30,46030.0,0.000651748859439496,0.0651748859439496
113,석관동,30,33790.0,0.0008878366380585972,0.08878366380585972
114,공덕동,30,25540.0,0.0011746280344557558,0.11746280344557558
115,삼전동,30,29075.0,0.0010318142734307824,0.10318142734307824
116,염창동,30,41285.0,0.0007266561705219813,0.07266561705219814
117,연희동,30,33990.0,0.00088261253309797,0.088261253309797
118,강일동,30,34099.0,0.0008797911962227632,0.08797911962227632
119,화양동,30,23193.0,0.0012934937265554262,0.1293493726555426
120,창신동,30,18376.0,0.0016325642141924248,0.1632564214192425
121,대흥동,28,16364.0,0.0017110730872647274,0.17110730872647273
122,신도림동,26,35998.0,0.0007222623479082171,0.07222623479082171
123,수서동,26,21861.0,0.0011893326014363477,0.11893326014363477
124,영등포동4가,26,1350.0,0.01925925925925926,1.925925925925926
125,홍은동,26,50700.0,0.0005128205128205128,0.05128205128205128
126,오금동,26,37413.0,0.0006949456071419026,0.06949456071419026
127,한강로3가,26,7907.0,0.003288225622865815,0.3288225622865815
128,동교동,26,3487.0,0.007456266131344996,0.7456266131344996
129,아현동,26,28150.0,0.0009236234458259325,0.09236234458259325
130,고덕동,24,46758.0,0.0005132811497497754,0.05132811497497754
131,녹번동,24,36111.0,0.000664617429592091,0.0664617429592091
132,종로4가,24,23.0,1.0434782608695652,104.34782608695652
133,한남동,22,17755.0,0.001239087580963109,0.12390875809631091
134,안암동5가,22,4033.0,0.005454996280684354,0.5454996280684354
135,상일동,22,51053.0,0.00043092472528548766,0.04309247252854877
136,성수동1가,22,27335.0,0.0008048289738430583,0.08048289738430583
137,이촌동,22,32801.0,0.0006707112588030852,0.06707112588030853
138,성산동,22,47572.0,0.00046245690742453545,0.04624569074245354
139,한강로2가,20,7255.0,0.0027567195037904893,0.2756719503790489
140,문래동3가,20,13510.0,0.0014803849000740192,0.1480384900074019
141,평동,20,1563.0,0.012795905310300703,1.2795905310300704
142,노고산동,20,5832.0,0.003429355281207133,0.3429355281207133
143,연건동,18,1599.0,0.01125703564727955,1.125703564727955
144,북아현동,18,27560.0,0.0006531204644412192,0.06531204644412192
145,옥수동,18,25402.0,0.000708605621604598,0.0708605621604598
146,마장동,18,21573.0,0.0008343763037129745,0.08343763037129745
147,합정동,18,16338.0,0.0011017260374586854,0.11017260374586854
148,증산동,18,18258.0,0.000985869208018403,0.0985869208018403
149,공항동,16,17259.0,0.000927052552291558,0.0927052552291558
150,장지동,16,43216.0,0.00037023324694557573,0.037023324694557574
151,용답동,16,11921.0,0.0013421692811005788,0.1342169281100579
152,광장동,16,33971.0,0.0004709899620264343,0.047098996202643434
153,금호동3가,16,12217.0,0.0013096504870262749,0.13096504870262748
154,구산동,16,31453.0,0.0005086955139414365,0.05086955139414365
155,돈암동,14,38248.0,0.00036603221083455345,0.036603221083455345
156,신공덕동,14,12401.0,0.001128941214418192,0.1128941214418192
157,영등포동,14,13734.0,0.0010193679918450561,0.10193679918450561
158,군자동,14,19070.0,0.0007341373885684321,0.07341373885684321
159,동선동1가,14,1193.0,0.01173512154233026,1.173512154233026
160,상도1동,14,9631.0,0.0014536392897933756,0.14536392897933756
161,명륜4가,14,824.0,0.01699029126213592,1.6990291262135921
162,신수동,14,15386.0,0.0009099181073703367,0.09099181073703368
163,영등포동3가,14,1899.0,0.00737230121116377,0.737230121116377
164,당산동5가,14,12936.0,0.0010822510822510823,0.10822510822510822
165,금호동4가,14,14154.0,0.0009891196834817012,0.09891196834817012
166,도림동,14,17579.0,0.00079640480118323,0.079640480118323
167,영등포동5가,14,1802.0,0.00776914539400666,0.776914539400666
168,종로1가,14,106.0,0.1320754716981132,13.20754716981132
169,보광동,14,11147.0,0.0012559433031308872,0.12559433031308873
170,후암동,14,15998.0,0.0008751093886735842,0.08751093886735842
