,자치구,합계,살인,강도,강간,절도,폭력,계,1인 당 범죄 발생수
0,종로구,3138,2,8,228,1313,1587,139417,0.022508015521779983
1,중구,3071,1,5,194,1365,1506,121312,0.025314890530203114
2,용산구,2967,5,7,280,978,1697,213151,0.013919709501714747
3,성동구,2194,2,2,125,979,1086,277361,0.007910268566957864
4,광진구,3619,6,-,230,1670,1713,335554,0.010785149335129368
5,동대문구,3253,4,2,125,1556,1566,341149,0.009535422938364175
6,중랑구,3599,2,2,150,1508,1937,382155,0.009417644672973008
7,성북구,2749,3,1,158,1143,1444,425602,0.006459086188504754
8,강북구,2832,5,5,177,872,1773,288113,0.009829476628961553
9,도봉구,2141,3,-,70,969,1099,306948,0.006975122822106676
10,노원구,3896,3,3,180,1504,2206,498213,0.007819948495924434
11,은평구,3487,4,5,176,1497,1805,466770,0.007470488677507123
12,서대문구,2374,5,6,157,1114,1092,306231,0.007752317694812086
13,마포구,4096,2,2,436,1451,2205,363697,0.011262122041149639
14,양천구,3169,2,3,114,1474,1576,436028,0.007267881879145376
15,강서구,4663,3,7,261,1991,2401,563058,0.00828156246780971
16,구로구,3857,11,8,217,1565,2056,392405,0.009829130617601713
17,금천구,2577,2,3,127,1118,1327,227481,0.011328418637160905
18,영등포구,4819,5,10,327,2062,2415,374794,0.012857729846262213
19,동작구,2735,2,5,212,1195,1321,378769,0.0072207598826725524
20,관악구,4879,10,9,327,1966,2567,481956,0.01012333076048436
21,서초구,4459,3,3,431,1921,2101,407664,0.010937929275089289
22,강남구,6947,12,11,667,2495,3762,544873,0.012749760035824863
23,송파구,5167,2,5,290,2201,2669,654166,0.007898606775650217
24,강동구,3711,5,5,157,1672,1872,459167,0.008082026800706497
