자치구명,법정동명,전세 보증금(평균),월세 보증금(평균),월세 임대료(평균)
강남구,개포동,65759,28352,133
강남구,논현동,39593,8476,99
강남구,대치동,81791,34713,134
강남구,도곡동,93332,39875,159
강남구,삼성동,70526,19794,154
강남구,세곡동,40738,13581,74
강남구,수서동,46771,15555,92
강남구,신사동,38861,6337,93
강남구,압구정동,87950,34806,220
강남구,역삼동,46040,12400,106
강남구,율현동,35444,7999,56
강남구,일원동,66748,25544,93
강남구,자곡동,41119,9532,58
강남구,청담동,79065,23172,206
강동구,강일동,27352,5947,27
강동구,고덕동,53485,19773,88
강동구,길동,26031,6355,54
강동구,둔촌동,36182,10757,56
강동구,명일동,41162,13297,70
강동구,상일동,46261,14071,58
강동구,성내동,27260,7860,50
강동구,암사동,37152,11135,61
강동구,천호동,27361,7141,55
강북구,미아동,25912,4907,53
강북구,번동,20299,3154,47
강북구,수유동,16419,2760,54
강북구,우이동,19407,4499,49
강서구,가양동,29600,7413,59
강서구,개화동,25957,3610,42
강서구,공항동,17727,2705,49
강서구,내발산동,34242,8756,55
강서구,등촌동,28748,6815,61
강서구,마곡동,30344,4918,62
강서구,방화동,26113,5060,53
강서구,염창동,38225,12997,62
강서구,외발산동,15552,5474,55
강서구,화곡동,22699,5858,54
관악구,남현동,26319,6611,51
관악구,봉천동,26551,5751,50
관악구,신림동,19700,4018,48
광진구,광장동,55885,22171,95
광진구,구의동,32830,8443,60
광진구,군자동,20061,4390,50
광진구,능동,20183,5343,52
광진구,자양동,35405,8650,68
광진구,중곡동,20383,6015,49
광진구,화양동,17771,2605,57
구로구,가리봉동,13391,2645,44
구로구,개봉동,26814,6433,54
구로구,고척동,24978,8331,47
구로구,구로동,25230,4469,53
구로구,궁동,16625,4498,39
구로구,신도림동,44842,16096,86
구로구,오류동,21126,4405,44
구로구,온수동,23672,5403,58
구로구,천왕동,21985,6106,20
구로구,항동,38755,7801,30
금천구,가산동,19388,4178,46
금천구,독산동,23918,8840,53
금천구,시흥동,20658,4590,45
노원구,공릉동,26679,4392,49
노원구,상계동,23987,5024,55
노원구,월계동,27266,5465,61
노원구,중계동,34576,8824,70
노원구,하계동,31008,6357,64
도봉구,도봉동,22095,3369,55
도봉구,방학동,21595,3741,51
도봉구,쌍문동,21368,4212,51
도봉구,창동,24110,4589,60
동대문구,답십리동,37031,7036,67
동대문구,신설동,20091,3244,68
동대문구,용두동,34456,5987,78
동대문구,이문동,26409,3056,54
동대문구,장안동,29418,7038,67
동대문구,전농동,35382,7771,70
동대문구,제기동,23993,3522,58
동대문구,청량리동,24416,3712,68
동대문구,회기동,22101,2803,61
동대문구,휘경동,26838,5340,51
동작구,노량진동,28729,3340,52
동작구,대방동,32412,7902,56
동작구,동작동,70547,35074,112
동작구,본동,44209,16432,74
동작구,사당동,34100,8246,55
동작구,상도1동,18217,3198,54
동작구,상도동,36403,7971,58
동작구,신대방동,32622,6665,53
동작구,흑석동,60280,15460,83
마포구,공덕동,44893,12066,76
마포구,구수동,22588,9300,53
마포구,노고산동,19577,2943,67
마포구,당인동,18832,4165,64
마포구,대흥동,47406,10740,82
마포구,도화동,43124,8805,93
마포구,동교동,19444,2752,74
마포구,마포동,35139,5943,63
마포구,망원동,27144,7009,60
마포구,상수동,41514,8085,74
마포구,상암동,35982,5389,86
마포구,서교동,26500,5518,67
마포구,성산동,25158,5477,60
마포구,신공덕동,49161,12182,92
마포구,신수동,50496,11574,73
마포구,신정동,53290,15167,110
마포구,아현동,59695,17706,119
마포구,연남동,25850,3896,70
마포구,염리동,48505,13510,91
마포구,용강동,62135,22605,111
마포구,중동,37856,11186,68
마포구,창전동,47610,8519,52
마포구,토정동,52459,24460,101
마포구,하중동,112918,44529,192
마포구,합정동,26921,6319,69
마포구,현석동,63445,24266,116
서대문구,남가좌동,47687,10332,70
서대문구,냉천동,56996,15471,70
서대문구,대신동,11025,1894,54
서대문구,대현동,27465,4348,78
서대문구,미근동,12495,5142,41
서대문구,봉원동,0,2925,55
서대문구,북가좌동,29649,8396,60
서대문구,북아현동,46701,12222,90
서대문구,신촌동,29000,1203,55
서대문구,연희동,26109,4719,65
서대문구,영천동,50150,19299,85
서대문구,옥천동,13617,2287,49
서대문구,창천동,17099,2976,62
서대문구,천연동,34401,7845,68
서대문구,충정로2가,22953,5017,53
서대문구,충정로3가,26706,6520,51
서대문구,합동,36379,11012,87
서대문구,현저동,47986,12525,83
서대문구,홍은동,29954,6617,57
서대문구,홍제동,34226,8836,63
서초구,내곡동,43424,14268,65
서초구,반포동,103086,40518,202
서초구,방배동,53722,16990,91
서초구,서초동,63884,19970,123
서초구,신원동,46603,13173,80
서초구,양재동,32631,8377,63
서초구,염곡동,31222,14700,100
서초구,우면동,40625,15554,65
서초구,원지동,0,6000,78
서초구,잠원동,76829,28930,142
성동구,금호동1가,55706,18434,134
성동구,금호동2가,59735,20787,155
성동구,금호동3가,38896,11808,84
성동구,금호동4가,63135,18652,159
성동구,도선동,25018,6173,67
성동구,마장동,30395,4915,55
성동구,사근동,17418,2780,51
성동구,상왕십리동,60092,19955,125
성동구,성수동1가,53401,15136,176
성동구,성수동2가,33867,9898,81
성동구,송정동,21895,4582,48
성동구,옥수동,62934,22039,173
성동구,용답동,20012,3504,59
성동구,응봉동,39925,13521,104
성동구,하왕십리동,56210,18634,111
성동구,행당동,48606,12702,92
성동구,홍익동,24082,5871,52
성북구,길음동,46302,13540,85
성북구,돈암동,40079,11987,79
성북구,동선동1가,12812,3587,47
성북구,동선동2가,14028,2301,51
성북구,동선동3가,16273,2222,53
성북구,동선동4가,18714,2893,53
성북구,동선동5가,20484,3883,55
성북구,동소문동1가,17403,4385,50
성북구,동소문동2가,15333,2431,57
성북구,동소문동3가,13000,1500,68
성북구,동소문동4가,26490,5531,49
성북구,동소문동5가,41464,8061,71
성북구,동소문동6가,18296,6680,54
성북구,동소문동7가,42262,9700,75
성북구,보문동1가,41111,10355,75
성북구,보문동2가,17833,4326,62
성북구,보문동3가,48134,13693,83
성북구,보문동4가,22223,4839,62
성북구,보문동5가,12991,2735,49
성북구,보문동6가,41311,8454,58
성북구,보문동7가,24800,6228,55
성북구,삼선동1가,13292,3692,50
성북구,삼선동2가,37851,5775,61
성북구,삼선동3가,32207,6436,54
성북구,삼선동4가,26391,8123,55
성북구,삼선동5가,17214,4680,56
성북구,상월곡동,25506,4644,53
성북구,석관동,27290,6482,52
성북구,성북동,24195,6704,74
성북구,성북동1가,27237,5434,52
성북구,안암동1가,27512,3394,60
성북구,안암동2가,10572,2963,49
성북구,안암동3가,16222,2513,56
성북구,안암동4가,13636,3489,44
성북구,안암동5가,11649,1643,57
성북구,장위동,29389,8087,55
성북구,정릉동,25951,4897,57
성북구,종암동,31964,7134,69
성북구,하월곡동,34118,6954,65
송파구,가락동,57712,18953,80
송파구,거여동,38729,9810,52
송파구,마천동,20949,5487,39
송파구,문정동,36191,8491,77
송파구,방이동,38429,9926,77
송파구,삼전동,23878,8535,50
송파구,석촌동,26146,8108,53
송파구,송파동,34430,10162,57
송파구,신천동,78846,36862,157
송파구,오금동,40509,12967,64
송파구,잠실동,66254,23522,118
송파구,장지동,50659,16106,70
송파구,풍납동,39122,10867,57
양천구,목동,44364,17888,79
양천구,신월동,24092,5118,55
양천구,신정동,38611,10593,55
영등포구,당산동,30253,9001,52
영등포구,당산동1가,27848,10146,52
영등포구,당산동2가,36377,10858,54
영등포구,당산동3가,36447,10781,68
영등포구,당산동4가,52172,15340,88
영등포구,당산동5가,56405,15464,89
영등포구,당산동6가,23884,5727,55
영등포구,대림동,25114,3613,50
영등포구,도림동,27558,4970,59
영등포구,문래동1가,29531,26364,22
영등포구,문래동2가,19280,5933,65
영등포구,문래동3가,55088,19695,112
영등포구,문래동4가,41908,16333,62
영등포구,문래동5가,37456,12026,67
영등포구,문래동6가,36496,18085,72
영등포구,신길동,32499,6918,55
영등포구,양평동1가,34581,10247,65
영등포구,양평동2가,28472,7982,55
영등포구,양평동3가,38551,12183,65
영등포구,양평동4가,27249,7684,60
영등포구,양평동5가,31893,12481,69
영등포구,양평동6가,26825,6426,66
영등포구,여의도동,51686,16594,138
