구,동,대형마트 수
성북구,길음동,5
동작구,상도동,3
노원구,중계동,3
성북구,하월곡동,3
영등포구,신길동,3
강남구,신사동,2
구로구,구로동,2
양천구,신정동,2
광진구,중곡동,2
서대문구,남가좌동,2
중랑구,면목동,2
금천구,시흥동,2
강서구,화곡동,2
강북구,미아동,2
송파구,신천동,2
강서구,가양동,1
마포구,연남동,1
서대문구,홍은동,1
서대문구,북가좌동,1
은평구,불광동,1
마포구,성산동,1
마포구,도화동,1
은평구,신사동,1
은평구,갈현동,1
양천구,목동,1
강서구,마곡동,1
마포구,서교동,1
금천구,독산동,1
구로구,신도림동,1
강남구,도곡동,1
영등포구,양평동3가,1
강동구,길동,1
강동구,천호동,1
송파구,삼전동,1
송파구,가락동,1
강남구,논현동,1
관악구,봉천동,1
구로구,개봉동,1
영등포구,도림동,1
영등포구,여의도동,1
영등포구,문래동3가,1
노원구,공릉동,1
금천구,가산동,1
구로구,오류동,1
마포구,용강동,1
중랑구,망우동,1
노원구,월계동,1
도봉구,창동,1
중랑구,중화동,1
강서구,등촌동,1
관악구,남현동,1
동작구,사당동,1
송파구,거여동,1
송파구,풍납동,1
송파구,잠실동,1
송파구,송파동,1
동대문구,회기동,1
은평구,응암동,1
은평구,구산동,1
종로구,숭인동,1
강동구,성내동,1
강동구,암사동,1
중구,신당동,1
종로구,신문로1가,1
중구,황학동,1
서초구,서초동,1
성동구,하왕십리동,1
성동구,금호동3가,1
성동구,금호동1가,1
동대문구,용두동,1
광진구,구의동,1
중랑구,상봉동,1
중랑구,신내동,1
중랑구,묵동,1
성북구,보문동7가,1
성북구,삼선동1가,1
도봉구,방학동,1
영등포구,영등포동8가,1
